3321065,4,400,400,400
3211015,14,816,666,651
3721093,19,562,839,624
3321096,23,700,669,692
5211104,28,461,619,441
6111014,29,516,503,410
3411041,33,675,584,578
3531031,37,641,567,600
7111196,39,440,410,554
3211015,43,438,459,532
7111076,45,513,501,474
7111343,46,501,632,563
3211313,49,585,632,762
7111424,60,751,533,596
3321081,65,622,746,834
3331284,101,558,502,720
3551027,110,665,720,553
1121113,112,665,450,466
3211271,118,653,535,491
3331214,120,619,550,731
9111053,133,465,546,479
7111196,134,400,500,740
7111366,145,480,564,547
3321073,146,415,495,635
7111382,155,649,649,649
3531201,156,518,537,454
3211104,160,531,632,761
3811014,163,610,585,839
6111022,164,717,489,594
3331214,170,478,557,543
3221064,172,504,491,639
3321026,177,589,712,771
3211015,192,766,676,751
3551051,197,453,715,454
3631047,198,463,504,411
3821202,199,447,724,669
6111045,210,596,532,667
3221072,212,548,543,576
6111142,214,561,517,443
3321073,229,447,817,691
3211201,232,494,685,618
3721182,233,581,592,620
3531085,239,608,488,677
3531077,243,595,543,542
3821256,244,479,624,521
3821144,247,704,421,513
3811037,251,441,631,690
6111173,253,473,379,273
3821272,255,525,816,756
3321026,264,486,587,618
3721216,266,491,563,483
3811045,269,413,550,563
3551356,270,574,569,699
3321042,277,511,364,406
3551291,281,453,480,497
3711133,282,744,496,604
3821032,284,413,617,560
3211077,292,706,596,814
3111061,294,457,590,570
3321011,295,606,563,612
7131065,299,323,518,437
3551012,304,638,613,338
1911077,323,537,537,566
3551221,335,502,733,757
3711083,351,534,592,731
1211062,364,470,512,606
3111053,365,698,541,565
3731114,379,425,443,546
3321107,406,679,514,927
3411273,408,505,733,737
3621165,424,406,620,492
7111014,430,524,652,684
6111134,433,566,435,601
1411184,438,719,623,704
3221095,451,401,517,579
3631024,452,495,666,740
3551027,455,608,497,661
3821272,456,554,654,735
7121055,459,495,528,441
3821024,460,500,627,566
3811165,462,718,589,647
3621432,463,655,489,518
3571086,467,573,596,407
3851062,470,514,650,525
7111092,473,670,732,424
6111014,474,411,728,672
3411226,475,620,636,532
3411265,476,543,457,611
3211054,477,518,631,644
3611043,478,642,683,826
3311094,483,564,545,491
3551155,491,632,444,613
5411184,503,725,504,453
3821217,509,453,542,780
7111181,516,521,510,664
3851031,531,609,520,508
3731211,534,534,486,529
3411412,544,499,528,460
1311032,561,509,388,583
1234567, 600, 650, 550, 500
